0,1,2,3,4
Preceptor Lazare,0,145,0,1047
Pythius the Rotten,0,1,0,2
Rage of Mazoran,0,0,0,568
Ragiaz,0,0,0,1
Raging Mages,0,1,0,7
Rahemos,0,0,0,3
Ratmiral Blackwhiskers,0,9,0,67
Ravenous Hunger,0,31,0,182
Raxias,0,6,0,48
Razzagorn,0,0,0,4
Realityquake,0,13,0,97
Renegade Orcs,0,1,0,8
Ribstride,0,0,0,7
Rocko,0,0,0,6
Rocky,0,0,0,7
Ron the Ripper,0,0,0,2
Rotworm Queens,0,0,0,3
Rukor Zad,0,1,0,1
Rupture,0,0,0,58
Scarlett Etzel,3,347,12,2418
Shadowpelt,0,161,0,1285
Shard of Corruption,0,2,0,17
Shardhead,0,0,0,2
Sharpclaw,0,159,0,1219
Sharptooth,0,1,0,5
Shulgrax,0,0,0,1
Sir Baeloc,0,25,0,149
Sir Nictros,0,25,0,149
Sir Valorcrest,0,1,0,1
Sister Hetai,0,30,0,177
Slim,0,0,0,5
Smuggler Baron Silvertoe,0,0,0,1
Soul Cages,0,60,0,195
Soul of Dragonking Zyrtarch,0,0,0,14
Spirits of Earth,0,0,0,5
Spirits of Fire,0,0,0,5
Spirits of Water,0,0,0,5
Splasher,0,1,0,5
Srezz Yellow Eyes,0,190,0,1252
Stonecracker,0,0,0,2
Sulphur Scuttler,0,0,0,3
Svoren the Mad,0,2,0,5
Tanjis,0,0,0,2
Tazhadur,0,230,0,1882
Tentugly,0,13,0,118
Terofar,0,1,0,6
Thaian,0,1,0,12
Thalas,0,1,0,5
Thawing Dragon Lords,0,19,0,120
The Armored Voidborn,0,0,0,2
The Axeorcist,0,0,0,7
The Baron From Below,0,2,0,8
The Blazing Rose,0,3,0,21
The Blightfather,0,0,0,1
The Bloodtusk,0,0,0,9
The Bloodweb,0,0,0,2
The Brainstealer,0,13,0,90
The Collector,0,2,0,11
The Corruptor Of Souls,0,1,0,4
The Count,0,0,0,3
The Count Of The Core,0,4,0,21
The Dark Dancer,0,0,0,5
The Destruction,0,1,0,12
The Diamond Blossom,0,3,0,19
The Dread Maiden,0,5,0,34
The Dreadorian,0,0,0,6
The Duke Of The Depths,0,2,0,8
The End Of Days,0,150,0,1088
The Enraged Thorn Knight,0,2,1,34
The Evil Eye,0,0,0,1
The False God,0,0,0,5
The Fear Feaster,0,7,2,39
The First Dragon,0,7,0,101
The Flaming Orchid,0,51,0,270
The Frog Prince,0,0,0,1
The Hag,0,0,0,5
The Hairy One,0,0,0,7
The Horned Fox,0,1,0,5
The Hunger,0,1,0,12
The Keeper,0,1,0,6
The Last Lore Keeper,0,0,0,3
The Lily of Night,0,3,0,19
The Many,0,3,0,12
The Masked Marauder,0,2,0,5
The Mega Magmaoid,0,0,0,2
The Monster,0,12,0,81
The Moonlight Aster,0,52,0,277
The Nightmare Beast,0,6,0,44
The Noxious Spawn,0,2,0,17
The Obliverator,0,1,0,4
The Old Whopper,0,0,1,1
The Old Widow,0,0,0,7
The Pale Worm,0,10,1,65
The Pit Lord,0,2,0,5
The Plasmother,0,0,0,1
The Rage,0,1,0,12
The Ravager,0,0,0,1
The Sandking,0,0,0,28
The Scourge Of Oblivion,0,2,0,11
The Shatterer,0,0,0,2
The Sinister Hermit,0,0,0,22
The Snapper,0,2,0,15
The Souldespoiler,0,0,0,22
The Source Of Corruption,0,1,0,4
The Spellstealer,0,2,0,11
The Time Guardian,0,0,0,24
The Unarmored Voidborn,0,0,0,2
The Unwelcome,0,7,0,39
The Weakened Count,0,0,0,1
The Welter,0,0,0,1
The Winter Bloom,0,51,0,273
Timira the Many-Headed,0,135,0,997
Tiquandas Revenge,0,0,0,4
Tirecz,0,0,0,6
Tremorak,0,0,0,6
Unaz the Mean,0,33,0,198
Ungreez,0,0,1,6
Urmahlullu the Immaculate,0,0,1,0
Urmahlullu the Weakened,0,29,0,208
Ushuriel,0,0,0,1
Utua Stone Sting,0,190,0,1259
Vashresamun,0,1,0,3
Versperoth,0,3,1,21
Vok the Freakish,0,32,0,187
Webster,0,2,0,5
White Pale,0,0,0,1
Willi Wasp,0,0,0,1
World Devourer,0,1,0,11
Xogixath,0,0,0,36
Yakchal,0,0,0,1
Yirkas Blue Scales,0,189,0,1252
Zanakeph,0,0,0,2
Zevelon Duskbringer,0,0,0,1
Zomba,0,0,0,1
Zorvorax,0,238,1,1913
Zugurosh,0,0,0,4
abyssal calamaries,0,1,0,11
acid blobs,0,140,0,2883
acolytes of the cult,1,2026,2,14702
adepts of the cult,2,3267,6,23785
adult goannas,1,2810,3,16709
adventurers,0,163,1,1103
afflicted striders,0,797,1,4670
aggressive chickens,0,0,0,3
agrestic chickens,0,0,0,133
amazons,0,4325,0,30058
ancient lion knights,0,139,0,1040
ancient scarabs,2,3731,9,16097
angry adventurers,0,0,0,1
angry demons,1,6,1,8
angry plants,0,40,0,510
animated feathers,0,2517,1,22768
animated skunks,0,0,0,8
animated swords,0,0,0,221
arachnophobicas,3,6348,9,45470
arctic fauns,0,15,0,70
armadiles,0,60,0,308
askarak demons,0,0,0,157
assassins,0,480,0,3310
azure frogs,0,111,0,808
badgers,0,2221,0,23989
bandits,0,374,0,2140
banshees,0,549,0,3215
barbarian bloodwalkers,0,265,0,1945
barbarian brutetamers,0,100,0,1613
barbarian headsplitters,0,232,0,2939
barbarian skullhunters,0,247,0,2540
barkless devotees,0,1718,2,5662
barkless fanatics,0,1697,0,5084
bashmus,0,4402,2,30484
bats,0,2295,0,15989
bears,0,258,0,4508
behemoths,3,549,7,13108
berserker chickens,0,26,0,140
betrayed wraiths,0,4069,0,23104
biting books,0,1755,2,12288
black cobras,0,164,0,2373
black sheep,0,28,0,214
black sphinx acolytes,0,263,3,2166
blazing fire elementals,0,126,0,126
blemished spawns,0,1971,2,11597
blightwalkers,0,1287,0,4575
blistering fire elementals,0,66,0,76
blood beasts,0,1486,0,12799
blood crabs,0,1168,0,7863
blood hands,0,34,0,322
blood priests,0,334,0,2234
blue djinns,0,79,0,756
boar mans,0,656,1,7940
boars,0,117,1,2843
bog frogs,0,106,0,705
bog raiders,1,289,1,3082
bonebeasts,1,4632,5,27501
bonelords,0,371,0,3820
bony sea devils,0,4406,1,43269
boogies,0,82,0,2269
bound astral power,0,0,0,24
brachiodemons,0,210,0,853
brain squids,0,3929,0,25532
braindeaths,0,351,0,1900
branchy crawlers,1,1824,3,3837
breach broods,3,10178,9,69909
brimstone bugs,0,1621,2,18242
brittle skeletons,0,23,0,222
broken shapers,0,8,0,345
bugs,0,780,1,7012
burning books,0,1881,0,13260
burning gladiators,1,759,4,6178
burster spectres,2,7697,15,50248
butterflies,0,203,0,1505
calamaries,0,22,0,150
canopic jars,0,0,0,23
capricious phantoms,0,3392,0,33261
carniphilas,0,388,1,4693
carnisylvan saplings,0,421,0,5692
carnivostriches,2,507,3,5498
carrion worms,0,411,5,2793
cats,0,63,0,605
cave chimeras,1,1132,2,3679
cave devourers,0,174,0,2898
cave hydras,0,156,0,862
cave parrots,0,31,0,174
cave rats,0,881,4,7463
centipedes,0,838,0,6823
chakoya toolshapers,0,8,0,982
chakoya tribewardens,0,8,0,1334
chakoya windcallers,0,1,0,634
charged disruptions,0,0,0,2
charged energy elementals,0,444,0,996
chargers,0,1715,0,11777
charging Outburst,0,115,2,779
chasm spawns,0,37,0,2599
chickens,0,298,0,3852
choking fears,2,1117,4,13242
clay guardians,0,326,0,3737
cliff striders,0,33,1,220
cloaks of terror,0,87,0,2192
clomps,0,416,0,3615
cobra assassins,1,2266,6,34572
cobra scouts,0,1429,2,20834
cobra viziers,0,1710,3,27472
cobras,0,798,0,5871
containment crystals,0,0,0,10
containment machines,0,0,0,3
coral frogs,0,72,0,434
corrupt nagas,0,2103,3,14997
corrupted souls,0,0,0,426
corym charlatans,0,1347,7,7786
corym skirmishers,0,1349,11,6083
corym vanguards,3,725,21,2759
cosmic energy prism A,0,2,0,26
cosmic energy prism B,0,2,0,26
cosmic energy prism C,0,2,0,27
cosmic energy prism D,0,2,0,26
courage leeches,0,27,0,1114
crabs,0,557,0,4361
cracklers,0,0,0,5
crape mans,1,5166,5,46534
crawlers,0,3212,0,16462
crazed beggars,0,44,0,474
crazed dwarfs,0,0,0,24
crazed summer rearguards,0,5536,2,39622
crazed summer vanguards,0,4928,3,35538
crazed winter rearguards,0,1310,2,13382
crazed winter vanguards,0,1477,0,15931
crimson frogs,0,94,0,646
crocodiles,0,1707,0,10665
crustaceae giganticae,0,1,1,1
crypt defilers,0,566,0,718
crypt shamblers,0,2146,1,12626
crypt wardens,0,4200,0,30708
crypt warriors,0,28,0,652
crystal spiders,0,167,0,1716
crystal wolves,0,0,0,5
crystalcrushers,0,1034,3,7482
cult believers,0,2109,0,14485
cult enforcers,0,492,0,3397
cult scholars,0,48,0,956
cursed apes,0,416,0,4151
cursed books,1,13,3,80
cursed prospectors,0,123,0,422
cyclopes,1,3043,6,22357
cyclopes drone,0,453,3,5594
cyclopes smith,1,245,4,4573
damaged crystal golems,0,54,0,309
damaged worker golems,0,28,0,223
damned souls,0,0,0,14
dark apprentices,0,673,1,6124
dark carnisylvans,0,423,1,8785
dark fauns,1,199,2,3731
dark magicians,0,414,0,4166
dark monks,0,329,0,3679
dark soul reapers,0,9,0,38
dark souls,0,40,0,248
dark torturers,2,15642,8,102797
dawn bats,0,4,0,50
dawn scorpions,0,3,0,18
dawnfire asuras,1,14846,2,87962
dawnflies,0,285,8,1552
death blobs,0,2589,0,11177
death dragons,0,0,0,102
death priests,0,26,0,213
deathling scouts,0,2294,2,13259
deathling spellsingers,0,1338,0,6911
deathspawns,0,0,0,35
deepling brawlers,0,0,0,16
deepling elites,0,1,0,21
deepling guards,0,38,0,853
deepling master librarians,0,0,0,58
deepling scouts,0,980,0,4870
deepling spellsingers,0,80,0,1317
deepling tyrants,0,0,0,87
deepling warriors,0,126,0,1462
deepling workers,0,7,0,710
deepsea blood crabs,0,273,0,1713
deepworms,0,3516,1,21996
deer,0,646,0,3485
defilers,0,275,0,1144
demon outcasts,1,7092,5,32569
demon parrots,0,3,0,28
demon skeletons,1,2155,7,15884
demons,0,2474,4,23631
depolarized cracklers,0,0,1,751
depowered minotaurs,0,0,0,31
desperate white deer,0,50,0,228
destroyers,0,2064,0,24903
devourers,0,1671,3,16530
diabolic imps,0,18,0,445
diamond servant replicas,0,115,0,1129
diamond servants,0,60,0,1088
dire penguins,0,0,0,5
diremaws,1,8162,3,51398
disruptions,0,31,0,306
distorted phantoms,0,500,0,2388
dogs,0,107,0,773
domestikions,1,226,5,871
doom deer,0,9,0,69
dragon hatchlings,0,2280,0,20834
dragon lord hatchlings,0,93,1,2099
dragon lords,2,2068,5,17186
dragon servants,0,0,1,208
dragon wraths,0,0,0,39
dragonlings,0,0,0,113
dragons,3,5347,15,35819
draken abominations,0,707,0,2924
draken elites,0,456,0,2027
draken spellweavers,1,7113,3,48506
draken warmasters,1,8751,2,60562
draptors,0,0,0,7
dread intruders,0,8786,3,60201
dread minions,0,27,0,62
dreadbeasts,0,0,0,1
drillworms,0,548,0,7103
dromedaries,0,204,0,1476
druid's apparitions,0,436,0,1747
dwarf geomancers,0,2,0,330
dwarf guards,0,190,1,2812
dwarf henchmen,0,0,0,349
dwarf miners,0,0,1,2
dwarf soldiers,0,654,2,5066
dwarfs,0,531,0,3592
dworc fleshhunters,0,826,0,5918
dworc venomsnipers,0,723,0,5012
dworc voodoomasters,0,474,0,3805
earth elementals,0,553,0,4549
earworms,0,0,0,401
efreet,1,84,1,332
eggs,0,0,0,69
elder bonelords,0,53,2,806
elder forest furies,0,234,0,352
elder mummies,0,74,0,505
elder wyrms,1,553,7,3898
elephants,0,173,0,1025
elf arcanists,0,1437,0,8709
elf overseers,0,0,0,9
elf scouts,1,2329,6,18534
elves,0,1587,0,13690
emerald damselflies,0,5117,1,37941
emerald tortoises,0,4573,2,25675
energetic books,1,3442,1,21346
energized raging mages,0,5,0,55
energuardians of tales,0,2430,1,15630
energy elementals,0,3794,0,17456
enfeebled silencers,0,2721,3,26516
enlighteneds of the cult,0,1689,1,13992
enraged bookworms,0,2,0,2
enraged crystal golems,0,496,0,2415
enraged sand broods,0,0,0,1
enraged squirrels,0,8,0,80
enraged white deer,1,16,3,83
enslaved dwarfs,0,11,0,103
enthralled demons,0,153,0,1138
eruption of destruction,0,0,0,97
eternal guardians,0,3423,0,24391
evil prospectors,0,18,2,93
evil sheep,0,21,0,164
evil sheep lord,0,4,0,23
execowtioners,0,136,0,1012
exotic bats,0,8368,1,56136
exotic cave spiders,0,3578,3,23168
eyeless devourers,0,1128,0,6953
falcon knights,1,3041,16,25426
falcon paladins,5,1984,33,17480
fauns,0,149,0,1149
feral sphinxes,1,2339,4,13457
feverish citizens,3,1733,3,1733
feversleeps,0,42,0,169
filth toads,0,100,0,467
fire devils,0,90,0,982
fire elementals,0,3425,2,31870
firestarters,0,3228,3,10029
fish,0,18,0,238
flamingos,0,213,0,1076
flimsy lost souls,1,13465,7,65634
floating savants,0,9,0,1708
flying books,0,243,0,1615
foam stalkers,0,2117,0,13130
forest furies,0,2913,1,16553
foxes,0,2021,0,17657
frazzlemaws,0,15128,7,109320
freakish lost souls,0,155,0,984
frost dragon hatchlings,0,262,0,2313
frost dragons,0,389,0,3218
frost flower asuras,0,2823,1,18932
frost giantesses,0,15,0,82
frost giants,0,20,0,99
frost trolls,0,273,0,1966
frozen minions,0,0,0,580
fungosauruses,0,24,1,135
furies,1,580,3,7612
furious fire elementals,0,2,0,31
furious trolls,0,14,0,168
fury of the emperor,0,0,0,1
gang members,0,19,0,615
gargoyles,0,1952,0,13849
gazer spectres,0,9759,11,60501
gazers,0,26,0,691
ghastly dragons,0,728,2,6724
ghost wolves,0,3754,1,16501
ghosts,0,1875,0,12867
ghoulish hyaenas,0,73,0,666
ghouls,1,7425,3,45527
giant spiders,1,1794,9,13790
girtablilu warriors,1,5983,9,43954
gladiators,0,137,0,1773
gloom wolves,0,9024,1,43338
glooth anemones,0,757,0,11009
glooth bandits,0,2981,1,23939
glooth batteries,0,0,0,1
glooth blobs,0,2942,1,31411
glooth brigands,0,3025,1,24198
glooth golems,0,1878,1,11855
gnarlhounds,0,273,0,1715
gnome pack crawlers,0,0,0,1
goblin assassins,0,131,0,491
goblin leaders,0,9,0,37
goblin scavengers,0,196,0,732
goblins,0,478,0,3861
golden servant replicas,0,107,0,1030
golden servants,0,202,0,3672
goldhanded cultist brides,0,0,0,20
goldhanded cultists,0,0,0,23
gore horns,1,4522,3,26125
gorerillas,1,4447,7,25478
gozzlers,0,10,1,1133
grave guards,0,53,0,496
grave robbers,0,740,0,950
gravediggers,0,54,0,273
greater canopic jars,0,0,0,4
greater energy elementals,0,106,0,572
greater fire elementals,0,104,0,620
green djinns,0,208,0,764
green frogs,0,50,0,365
grim reapers,0,4064,1,40773
grimeleeches,1,7061,2,54398
gryphons,0,5,0,8
guardian golems,0,15,0,51
guardians of tales,0,488,0,3483
guzzlemaws,0,6387,1,48420
hands of cursed fate,0,1209,0,8009
hardened usurper archers,0,124,0,982
hardened usurper knights,0,419,0,3433
hardened usurper warlocks,0,580,0,3773
harpies,0,3333,3,29680
haunted dragons,0,1102,2,7687
haunted treelings,0,776,0,10743
hazardous phantoms,0,148,0,1088
headpeckers,0,5307,0,35179
hellfire fighters,0,402,1,4114
hellflayers,0,485,0,7721
hellhounds,0,2021,2,12888
hellspawns,0,8594,5,68958
heroes,0,3247,8,21520
hibernal moths,0,103,0,1009
hideous fungi,0,445,1,2144
high voltage elementals,0,140,0,1903
hive overseers,0,5,0,80
holy bog frogs,0,0,0,4
honour guards,0,964,0,2411
hoodinions,6,198,25,804
horses,0,180,0,2420
hot dogs,0,0,0,27
hulking carnisylvans,0,444,0,7981
hulking prehemoths,2,4573,7,25802
humongous fungi,0,669,3,3663
humorless fungi,0,572,0,2881
hunger worms,0,24,0,163
hunters,1,201,5,1623
huskies,0,26,0,315
hyaenas,0,802,0,5787
hydras,0,3933,1,29142
ice dragons,0,445,0,3453
ice golems,0,319,0,3116
ice witches,0,192,0,1111
icecold books,1,2672,8,25381
iks ahpututus,0,29,0,169
iks aucars,0,306,0,4091
iks chukas,0,243,0,3464
iks churrascans,0,148,0,873
iks pututus,0,210,0,2980
infected weepers,1,27,1,185
infernal demons,0,24,0,92
infernal frogs,0,0,0,28
infernal phantoms,0,14,0,61
infernalists,0,8,0,127
ink blobs,0,145,3,909
insane sirens,0,2157,1,15855
insect swarms,0,543,0,1779
insectoid scouts,0,0,0,369
insectoid workers,0,1307,1,7549
instable breach broods,0,405,1,840
instable sparkions,0,291,0,597
iron servant replicas,0,277,0,1914
iron servants,0,247,0,4536
ironblights,0,51,2,334
island trolls,0,255,0,4194
jagged earth elementals,0,4,0,16
jellyfish,0,46,0,398
juggernauts,0,471,1,2939
jungle moas,1,156,2,1304
juvenile bashmus,0,6647,1,46073
juvenile cyclopes,0,0,0,3
killer caimans,0,175,0,3246
killer rabbits,0,20,0,148
knight's apparitions,0,399,0,1955
knowledge elementals,0,2505,2,15975
knowledge raiders,0,415,0,1120
kollos,0,314,0,1571
kongras,0,4073,1,17872
lacewing moths,0,209,0,1463
lamassus,1,1003,7,7013
lancer beetles,0,323,0,6210
larvas,0,5747,0,23581
lava golems,0,39,0,293
lava lurker attendants,0,3,0,1181
lava lurkers,0,12,0,23
lavafungi,0,3329,1,20841
lavaworms,0,3844,0,24507
leaf golems,0,1453,0,2978
lesser death minions,0,0,0,4
lesser fire devils,0,2,0,19
lesser magma crystals,0,6,0,48
lesser swarmers,0,690,0,3476
liches,0,352,2,2188
liodiles,0,641,1,7278
lion archers,0,102,0,678
lion commanders,0,85,0,583
lion knights,0,55,0,449
lion warlocks,0,581,0,4324
lions,0,347,1,2686
little corym charlatans,0,13,0,168
lizard chosens,1,514,2,22810
lizard dragon priests,0,1078,1,8016
lizard high guards,0,3406,1,26634
lizard legionnaires,0,1724,0,14109
lizard magistratuses,0,91,0,172
lizard nobles,0,18,0,59
lizard sentinels,0,210,0,1619
lizard snakecharmers,0,79,0,638
lizard templars,0,222,0,1445
lizard zaoguns,0,487,1,6059
lost bashers,0,68,0,517
lost berserkers,2,103,2,775
lost exiles,0,4,0,229
lost gnomes,0,5,0,15
lost hushers,0,40,0,394
lost souls,0,3282,1,21360
lost throwers,0,58,0,488
lost times,0,0,0,440
lucifuga araneas,0,1,0,11
lumbering carnivors,0,3512,0,31246
mad scientists,0,84,0,999
mad sheep,0,3,0,19
magical spheres,0,199,0,1195
magma bubbles,0,25,0,181
magma crawlers,0,85,1,570
magma crystals,0,78,0,556
makaras,0,787,1,8330
makeshift homes,0,6,0,86
mammoths,1,847,2,12313
manta rays,0,0,0,122
manticores,0,1860,0,11134
mantosauruses,0,5785,2,39622
many faces,0,827,0,3784
marid,0,0,0,108
marsh stalkers,0,2791,0,21048
massive earth elementals,0,174,1,1387
massive energy elementals,0,79,1,789
massive fire elementals,0,238,0,1345
massive water elementals,0,0,0,208
meadow striders,0,243,9,1702
mean lost souls,0,4267,3,21331
mean maws,0,86,0,326
mean minions,0,0,0,13
mearidions,12,323,26,1385
mechanical fighters,0,21,0,185
medusae,0,4581,1,36896
memories of a banshee,0,1,0,10
memories of a book,0,1,0,25
memories of a carnisylvan,0,0,0,74
memories of a dwarf,0,0,0,11
memories of a faun,0,0,0,9
memories of a frazzlemaw,0,0,0,21
memories of a golem,0,0,0,106
memories of a hero,0,0,0,2
memories of a hydra,0,3,0,17
memories of a lizard,0,0,0,20
memories of a mammoth,0,0,0,4
memories of a manticore,0,0,0,28
memories of a pirate,0,1,0,14
memories of a scarab,0,0,0,16
memories of a shaper,0,0,0,9
memories of a vampire,0,0,0,12
memories of a werelion,0,8,0,35
memories of a wolf,0,4,0,53
memories of a yalahari,0,0,0,9
memories of an amazon,0,0,0,9
memories of an insectoid,0,0,0,15
memories of an ogre,0,0,0,45
menacing carnivors,0,667,1,9527
mercurial menaces,0,2151,0,14191
mercury blobs,1,162,1,1692
merlkins,0,1896,0,8025
metal gargoyles,0,922,0,4930
midnight asuras,0,14820,6,89261
midnight panthers,0,0,0,1
minions of Versperoth,0,9,1,62
minotaur amazons,0,151,0,958
minotaur archers,0,1342,4,8543
minotaur bruisers,0,25,2,204
minotaur cult followers,0,12639,1,61334
minotaur cult prophets,0,4494,0,22041
minotaur cult zealots,0,2557,0,12933
minotaur guards,0,1725,5,13189
minotaur hunters,0,1428,2,8446
minotaur idols,0,0,0,72
minotaur invaders,0,0,0,608
minotaur mages,1,821,3,6087
minotaur occultists,0,4,0,20
minotaur poachers,0,8,0,71
minotaur totems,0,0,0,11
minotaurs,0,2767,0,21704
misguided bullies,0,0,0,275
misguided shadows,0,0,0,25
misguided thieves,0,0,0,235
modified gnarlhounds,0,182,0,1164
moles,0,76,0,772
monks,0,729,0,5554
monks of the order,0,3,0,13
mooh'tah warriors,0,1751,0,9817
moohtants,0,143,0,1036
mould phantoms,0,1029,1,2169
mountain trolls,0,1628,1,12267
muglex clan assassins,0,5,1,52
muglex clan feetman,0,17,0,82
muglex clan scavengers,0,8,1,48
mummies,1,4232,2,22627
murmillions,4,534,12,1969
mushroom sniffers,0,45,0,356
mutated bats,0,2676,0,16524
mutated humans,0,519,0,4420
mutated rats,1,842,1,5834
mutated tigers,0,1628,0,9132
mystic energy,0,4,0,9
naga archers,0,546,1,5584
naga warriors,0,982,1,10388
necromancer servants,0,0,0,1
necromancers,0,1227,0,11542
necromantic focuses,0,4,0,25
neutral deepling warriors,0,13,0,84
nighthunters,0,5982,7,31005
nightmare scions,0,828,2,10246
nightmares,0,2048,0,13133
nightstalkers,0,71,0,727
noble lions,0,144,0,255
nomads,0,2304,2,11883
northern pikes,0,5,0,43
novices of the cult,0,883,2,13936
noxious ripptors,0,5932,2,38007
nymphs,0,303,0,2192
ogre brutes,0,82,1,1703
ogre rowdies,0,759,0,4886
ogre ruffians,0,416,0,2927
ogre sages,0,314,1,2316
ogre savages,0,30,0,756
ogre shamans,0,62,0,1715
omnivoras,0,271,1,3650
orc berserkers,3,4345,12,22324
orc cult fanatics,0,0,0,427
orc cult inquisitors,0,0,0,1348
orc cult minions,0,0,1,936
orc cult priests,0,0,0,762
orc cultists,0,0,0,700
orc leaders,2,1050,8,7305
orc marauders,0,26,0,334
orc riders,0,257,0,1735
orc shamans,0,6267,2,38096
orc spearmen,0,1542,0,9891
orc warlords,0,143,3,1977
orc warriors,0,2433,1,14146
orchid frogs,0,71,0,535
orclops doomhaulers,0,29,0,370
orclops ravagers,0,23,0,279
orcs,0,1453,0,9162
orewalkers,0,46,3,322
overcharged disruptions,0,0,0,3
overcharged energy elements,0,353,0,779
overcharges,0,189,0,1277
paladin's apparitions,0,330,0,1515
pandas,0,22,0,476
parasites,0,41,0,320
parders,0,235,0,1856
parrots,0,36,0,246
party skeletons,0,3,0,1692
penguins,0,259,0,3996
phantasms,0,9064,0,45240
pigeons,0,186,0,1125
pigs,0,107,0,1316
pirat bombardiers,0,5553,0,42470
pirat cutthroats,0,10724,0,86121
pirat mates,0,5221,0,36831
pirat scoundrels,0,5445,0,42104
pirate buccaneers,0,869,0,4466
pirate corsairs,0,366,0,1779
pirate cutthroats,0,1458,1,8779
pirate ghosts,0,11,0,311
pirate marauders,0,2101,0,13290
pirate skeletons,0,67,0,1070
pixies,0,248,0,1988
plaguesmiths,0,3439,2,14460
plunder patriarches,0,6,0,36
poachers,0,155,0,1327
poison spiders,0,2399,0,19716
poisonous carnisylvans,0,313,0,4848
polar bears,0,372,0,2917
pookas,0,77,0,671
possessed trees,0,3,0,62
priestesses,0,282,0,1500
priestesses of the wild sun,0,575,0,4678
primal pack beasts,0,247,1,1919
putrid mummies,1,1709,3,17330
quara constrictor scouts,0,476,0,4121
quara constrictors,0,151,0,1566
quara hydromancer scouts,0,491,0,4312
quara hydromancers,1,55,1,746
quara mantassin scouts,0,81,0,713
quara mantassins,0,143,0,1305
quara pincher scouts,0,527,0,4767
quara pinchers,0,115,0,1026
quara predator scouts,0,615,0,5473
quara predators,0,106,2,896
rabbits,0,639,0,3512
rage squids,1,1764,3,12502
rats,0,814,5,4781
ravenous lava lurkers,2,2904,3,18539
reality reaver,0,66,5,596
reality reavers,1,10068,9,69584
redeemed souls,0,11,0,37
reflections of Mawhawk,0,0,0,4
reflections of Obujos,0,0,0,4
reflections of a Mage,0,0,0,4
renegade knights,0,3086,2,19385
retching horrors,1,1484,9,18990
rhindeer,1,5324,7,46769
rift broods,0,0,0,67
rift fragments,0,0,0,1
rift invaders,0,731,0,3081
rift scythes,0,0,0,58
rift worms,0,0,0,90
ripper spectres,0,2265,0,20376
roaring lions,0,1772,2,7079
roaring water elementals,0,3,1,57
rogue nagas,0,2177,5,14972
rorcs,1,202,2,1765
rot elementals,0,1564,0,12642
rotten golems,1,1270,5,2633
rotworms,0,1592,8,11506
rustheap golems,0,1847,0,11358
sabreteeth,1,4385,5,25511
sacred snakes,0,0,0,148
sacred spiders,0,79,0,711
salamander trainers,1,0,1,1
salamanders,0,1319,0,9534
sand broods,0,0,0,333
sandcrawlers,0,1006,0,8891
sandstone scorpions,0,89,0,741
scar tribe warriors,0,0,0,1
scarabs,0,3023,1,14540
scissorions,10,516,39,1953
scorn of the emperor,0,0,0,1
scorpions,0,1818,3,12431
sea serpents,0,451,2,3189
seacrest serpents,0,0,0,40
seagulls,0,70,0,715
security golems,0,0,0,12
serpent spawns,1,3906,4,34159
servants of Tentugly,0,111,0,919
shaburak demons,0,0,0,163
shadow fiends,0,54,0,789
shadow pupils,0,41,0,468
shadow tentacles,0,5,0,90
shaper matriarches,0,0,0,102
sharks,0,12,0,171
sheep,0,80,0,702
shimmying butterflies,0,0,0,6
shock heads,0,837,0,5827
shrieking cry-stals,0,2085,0,14123
sibangs,0,4177,0,19145
sights of surrender,0,29,0,312
silencers,0,11334,2,79808
silver rabbits,0,222,0,1885
skeleton elite warriors,0,1056,1,11090
skeleton warriors,0,432,0,3783
skeletons,0,3903,1,24827
skunks,0,127,0,940
slick water elementals,0,0,0,98
slimes,1,603,3,6404
slugs,1,314,14,719
smugglers,0,581,0,3173
snakes,0,3544,0,27359
solitary frost dragons,0,56,0,303
somewhat beatable dragons,0,40,0,510
sons of verminor,0,248,0,1092
sorcerer's apparitions,0,293,0,1323
soul reapers,0,0,0,3
soul-broken harbingers,0,753,1,8486
souleaters,0,2710,1,19652
sparkions,0,10028,5,68850
sparks of destruction,0,2771,1,22478
spawns of the welter,0,0,0,11
spectres,0,297,0,5788
sphinxes,0,6104,8,43505
spiders,0,797,0,7487
spidris,0,516,0,2586
spidris elite,0,12,0,241
spiky carnivors,0,3408,2,33595
spirits of fertility,0,3,0,31
spit nettles,0,200,0,1679
spite of the emperor,0,0,0,1
spitters,0,1522,0,8035
spyrats,0,177,2,1947
squid wardens,0,2678,5,25192
squidgy slimes,0,883,0,3705
squirrels,0,110,0,1423
stabilizing dread intruders,0,178,0,670
stabilizing reality reavers,1,198,1,684
stalkers,0,1059,0,7097
stalking stalks,1,2800,1,14976
stampors,0,0,0,485
starving wolves,0,0,0,1600
stone devourers,0,47,3,237
stone golems,0,547,1,5965
stone rhinos,0,1,0,36
stonerefiners,2,4469,26,26304
strange rats,0,126,0,1459
strange slimes,0,1,0,14
streaked devourers,0,3919,0,24630
sulphiders,0,5491,2,29129
sulphur spouters,0,2802,1,14764
sun-marked goannas,0,4,0,63
swamp trolls,0,6578,4,39673
swamplings,0,2482,0,20752
swan maidens,0,110,0,1141
swarmer hatchlings,0,0,0,7
swarmers,0,905,0,5992
swords of vengeance,0,0,0,247
symbols of fear,0,32,0,177
symbols of hatred,0,141,0,606
tainted souls,1,54,1,665
tarantulas,0,2251,3,21395
tarnished spirits,0,27,0,286
